0,0,0,-0,0,-0,0,0,0,0,0
0.001,6.44565070612293e-07,6.1468727085182e-07,-1.19789248442271e-06,-1.70448697253922e-11,6.18265153861987e-07,-1.12158460929346e-06,-7.02966579567272e-23,-1.59760738819914e-06,0,0
0.002,2.57740057578614e-06,2.45792922709404e-06,-4.78997221513743e-06,-6.81567448305779e-11,2.47223598703333e-06,-4.48484249237986e-06,-2.81092871696256e-22,-6.38829869932782e-06,0,0
0.003,5.79721695552697e-06,5.5284960842568e-06,-1.0773842608314e-05,-1.53301524209071e-10,5.56067555689209e-06,-1.00875297320682e-05,-6.32248001022608e-22,-1.43688776531829e-05,0,0
0.004,1.03027246498402e-05,9.82515805787024e-06,-1.91471070801224e-05,-2.72445106754385e-10,9.88234692081635e-06,-1.79274024111675e-05,-1.1236214057398e-21,-2.55361479695613e-05,0,0
0.005,1.60926340987314e-05,1.53466853634645e-05,-2.99073690467324e-05,-4.25553391360034e-10,1.54360131361842e-05,-2.80022166124868e-05,-1.75507244565187e-21,-3.98869133682597e-05,0,0
0.006,2.31656557422059e-05,2.20918482165697e-05,-4.30522319243139e-05,-6.12592276919531e-10,2.22204372603736e-05,-4.03097284188351e-05,-2.52646048056282e-21,-5.74179775690752e-05,0,0
0.007,3.15205000202691e-05,3.0059416832716e-05,-5.85792991290368e-05,-8.3352766232639e-10,3.02343823507627e-05,-5.48476939130214e-05,-3.43764487027667e-21,-7.81261442918046e-05,0,0
0.008,4.11558773729266e-05,3.92481614274336e-05,-7.6486174077071e-05,-1.08832544647413e-09,3.94766114647297e-05,-7.16138691778548e-05,-4.48848497459746e-21,-0.000102008217256245,0,0
0.009,5.20704982401837e-05,4.96568522162525e-05,-9.67704601845864e-05,-1.37695152825625e-09,4.99458876596524e-05,-9.06060102961442e-05,-5.67884015332919e-21,-0.000129061000182192,0,0
0.01,6.42630730620459e-05,6.1284259414703e-05,-0.000119429760867753,-1.69937180656628e-09,6.1640973992909e-05,-0.000111821873350699,-7.0085697662759e-21,-0.000159281296789445,0,0
0.011,7.77323122785187e-05,7.41291532383151e-05,-0.00014446167954274,-2.05555218029772e-09,7.45606335218776e-05,-0.000135259214424327,-8.4775331732416e-21,-0.000192665910797798,0,0
0.012,9.24769263296074e-05,8.8190303902619e-05,-0.000171863819625718,-2.4454585483441e-09,8.87036293039363e-05,-0.000160915789599839,-1.00855897340303e-20,-0.00022921164592705,0,0
0.013,0.000108495625655318,0.000103466481623145,-0.000201633784532857,-2.86905680959892e-09,0.000104068724396463,-0.000188789354960043,-1.18325988084461e-20,-0.000268915305896997,0,0
0.014,0.000125787120695655,0.000119956456615423,-0.000233769177680326,-3.3263128629557e-09,0.000120654681856836,-0.000218877666587747,-1.37184197562929e-20,-0.000311773694427435,0,0
0.015,0.000144350121890624,0.000137658999094983,-0.000268267602484296,-3.81719260730795e-09,0.000138460264742433,-0.000251178480565762,-1.57429119373748e-20,-0.000357783615238163,0,0
0.016,0.000164183339680231,0.000156572879277355,-0.000305126662360936,-4.34166194154918e-09,0.000157484236110633,-0.000285689552976897,-1.79059347114957e-20,-0.000406941872048976,0,0
0.017,0.000185285484504481,0.00017669686737807,-0.000344343960726416,-4.89968676457292e-09,0.000177725359018813,-0.000322408639903959,-2.02073474384598e-20,-0.000459245268579672,0,0
0.018,0.00020765526680338,0.000198029733612658,-0.000385917100996906,-5.49123297527267e-09,0.000199182396524351,-0.000361333497429758,-2.26470094780711e-20,-0.000514690608550047,0,0
0.019,0.000231291397016934,0.000220570248196648,-0.000429843686588576,-6.11626647254194e-09,0.000221854111684626,-0.000402461881637104,-2.52247801901335e-20,-0.000573274695679898,0,0
0.02,0.000256192585585146,0.000244317181345572,-0.000476121320917596,-6.77475315527426e-09,0.000245739267557015,-0.000445791548608805,-2.79405189344511e-20,-0.000634994333689023,0,0
0.021,0.000282357542948024,0.000269269303274958,-0.000524747607400136,-7.46665892236313e-09,0.000270836627198897,-0.00049132025442767,-3.07940850708279e-20,-0.000699846326297218,0,0
0.022,0.000309784979545572,0.000295425384200338,-0.000575720149452365,-8.19194967270207e-09,0.00029714495366765,-0.000539045755176509,-3.37853379590679e-20,-0.000767827477224279,0,0
0.023,0.000338473605817796,0.00032278419433724,-0.000629036550490454,-8.95059130518459e-09,0.000324663010020652,-0.00058896580693813,-3.69141369589752e-20,-0.000838934590190005,0,0
0.024,0.000368422132204701,0.000351344503901197,-0.000684694413930572,-9.7425497187042e-09,0.00035338955931528,-0.000641078165795341,-4.01803414303537e-20,-0.000913164468914191,0,0
0.025,0.000399629269146293,0.000381105083107737,-0.000742691343188889,-1.05677908121544e-08,0.000383323364608914,-0.000695380587830954,-4.35838107330075e-20,-0.000990513917116634,0,0
0.026,0.000432093727082577,0.000412064702172391,-0.000803024941681575,-1.14262804844288e-08,0.00041446318895893,-0.000751870829127776,-4.71244042267407e-20,-0.00107097973851713,0,0
0.027,0.000465814216453559,0.000444222131310688,-0.0008656928128248,-1.23179846344208e-08,0.000446807795422708,-0.000810546645768616,-5.08019812713571e-20,-0.00115455873683548,0,0
0.028,0.000500789447699244,0.00047757614073816,-0.000930692560034734,-1.32428691610239e-08,0.000480355947057624,-0.000871405793836283,-5.4616401226661e-20,-0.00124124771579148,0,0
0.029,0.000537018131259637,0.000512125500670336,-0.000998021786727547,-1.42008999631317e-08,0.000515106406921058,-0.000934446029413587,-5.85675234524562e-20,-0.00133104347910492,0,0
0.03,0.000574498977574745,0.000547868981322746,-0.00106767809631941,-1.51920429396377e-08,0.000551057938070388,-0.000999665108583335,-6.26552073085468e-20,-0.0014239428304956,0,0
0.031,0.000613230697084572,0.000584805352910921,-0.00113965909222649,-1.62162639894353e-08,0.00058820930356299,-0.00106706078742834,-6.68793121547368e-20,-0.00151994257368333,0,0
0.032,0.000653212000229123,0.00062293338565039,-0.00121396237786496,-1.72735290114182e-08,0.000626559266456244,-0.00113663082203141,-7.12396973508302e-20,-0.00161903951238788,0,0
0.033,0.000694441597448405,0.000662251849756684,-0.00129058555665098,-1.83638039044798e-08,0.000666106589807527,-0.00120837296847535,-7.57362222566312e-20,-0.00172123045032907,0,0
0.034,0.000736918199182423,0.000702759515445333,-0.00136952623200074,-1.94870545675136e-08,0.000706850036674218,-0.00128228498284297,-8.03687462319435e-20,-0.00182651219122669,0,0
0.035,0.000780640515871182,0.000744455152931866,-0.00145078200733039,-2.06432468994132e-08,0.000748788370113695,-0.00135836462121708,-8.51371286365715e-20,-0.00193488153880054,0,0
0.036,0.000825607257954688,0.000787337532431815,-0.00153435048605611,-2.1832346799072e-08,0.000791920353183335,-0.00143660963968049,-9.00412288303189e-20,-0.00204633529677041,0,0
0.037,0.000871817135872945,0.000831405424160709,-0.00162022927159407,-2.30543201653836e-08,0.000836244748940517,-0.00151701779431601,-9.50809061729898e-20,-0.0021608702688561,0,0
0.038,0.000919268860065961,0.000876657598334079,-0.00170841596736043,-2.43091328972415e-08,0.000881760320442619,-0.00159958684120644,-1.00256020024388e-19,-0.0022784832587774,0,0
0.039,0.000967961140973739,0.000923092825167454,-0.00179890817677138,-2.55967508935392e-08,0.000928465830747019,-0.00168431453643461,-1.05566429744318e-19,-0.00239917107025412,0,0
0.04,0.00101789268903629,0.000970709874876365,-0.00189170350324307,-2.69171400531702e-08,0.000976360042911094,-0.00177119863608331,-1.11011994692584e-19,-0.00252293050700605,0,0
0.041,0.00106906221469361,0.00101950751767634,-0.00198679955019168,-2.82702662750281e-08,0.00102544171999222,-0.00186023689623535,-1.1659257422899e-19,-0.00264975837275299,0,0
0.042,0.00112146842838571,0.00106948452378292,-0.00208419392103337,-2.96560954580062e-08,0.00107570962504779,-0.00195142707297355,-1.22308027713339e-19,-0.00277965147121473,0,0
0.043,0.00117511004055259,0.00112063966341161,-0.00218388421918432,-3.10745935009983e-08,0.00112716252113516,-0.00204476692238071,-1.28158214505435e-19,-0.00291260660611107,0,0
0.044,0.00122998576163427,0.00117297170677797,-0.0022858680480607,-3.25257263028977e-08,0.00117979917131172,-0.00214025420053964,-1.34142993965084e-19,-0.00304862058116181,0,0
0.045,0.00128609430207074,0.00122647942409751,-0.00239014301107868,-3.4009459762598e-08,0.00123361833863484,-0.00223788666353315,-1.40262225452088e-19,-0.00318769020008675,0,0
0.046,0.00134343437230201,0.00128116158558577,-0.00249670671165442,-3.55257597789926e-08,0.00128861878616192,-0.00233766206744405,-1.46515768326251e-19,-0.00332981226660568,0,0
0.047,0.00140200468276808,0.00133701696145827,-0.0026055567532041,-3.70745922509752e-08,0.00134479927695031,-0.00243957816835515,-1.52903481947379e-19,-0.00347498358443839,0,0
0.048,0.00146180394390897,0.00139404432193056,-0.00271669073914388,-3.86559230774393e-08,0.0014021585740574,-0.00254363272234926,-1.59425225675274e-19,-0.00362320095730469,0,0
